Base Key,English,English,English,Indonesian,Indonesian,Chinese,Chinese,Korean,Korean,Japanese,Japanese,Sundanese,Sundanese,Javanese,Javanese,Czech,Czech,Czech,Czech,Czech,Czech,Spanish,Spanish,Spanish,French,French,French,French,French,French,Arabic,Arabic,Arabic,Hindi,Hindi,Hindi,Hindi,Marathi,Marathi,Marathi,Marathi,Bengali,Bengali,Bengali,Bengali,Sinhala,Sinhala,Sinhala,Yoruba,Yoruba,Cantonese,Cantonese,Hokkien (Medan),Hokkien (Medan),Tagalog,Tagalog,Thai,Thai,Azerbaijani,Azerbaijani,Balinese,Balinese,Italian,Italian,Sardinian,Sardinian,Russian,Russian,Russian,Russian,Russian,Russian,Russian,Russian
,<LOCATION>,<CUISINE>,<CUISINE.w_det>,<LOCATION>,<CUISINE>,<LOCATION>,<CUISINE>,<LOCATION>,<CUISINE>,<LOCATION>,<CUISINE>,<LOCATION>,<CUISINE>,<LOCATION>,<CUISINE>,<LOCATION>,<LOCATION.in>,<LOCATION.from>,<LOCATION.to>,<CUISINE>,<CUISINE.in>,<LOCATION>,<CUISINE.f>,<CUISINE.m>,<LOCATION>,<LOCATION.art>,<LOCATION.from>,<LOCATION.in_to>,<CUISINE>,<CUISINE.m>,<LOCATION>,<CUISINE>,<CUISINE.nation>,loc_prompt,cui_prompt,<LOCATION>,<CUISINE>,loc_prompt,cui_prompt,<LOCATION>,<CUISINE>,<LOCATION>,<LOCATION.qual>,<CUISINE>,<CUISINE.qual>,<LOCATION>,<LOCATION.to>,<CUISINE>,<LOCATION>,<CUISINE>,<LOCATION>,<CUISINE>,<LOCATION>,<CUISINE>,<LOCATION>,<CUISINE>,<LOCATION>,<CUISINE>,<LOCATION>,<CUISINE>,<LOCATION>,<CUISINE>,<LOCATION>,<CUISINE>,<LOCATION>,<CUISINE>,<LOCATION.nom>,<LOCATION.gen>,<LOCATION.acc>,<LOCATION.prep>,<CUISINE.nom>,<CUISINE.gen>,<CUISINE.acc>,<CUISINE.prep>
Afghanistan,Afghanistan,Afghan,an Afghan,Afghanistan,Afghanistan,阿富汗,阿富汗菜,아프가니스탄,아프가니스탄,アフガニスタン,アフガニスタン,Afghanistan,Pasakan Afghanistan,Afghanistan,Afghanistan,Afghánistán,v Afghánistánu,z Afghánistánu,do Afghánistánu,afghánské,v afghánské,Afganistán,Afgana,Afgano,Afghanistan,l'Afghanistan,d'Afghanistan,en Afghanistan,afghane,afghan,أفغانستان,أفغاني,,अफ़ग़ानिस्तान,अफ़ग़ानिस्तान,अफ़ग़ानिस्तान,अफ़ग़ान ,अफगाणिस्तान,अफगाणिस्तान,अफगाणिस्तान,अफगाणी,আফগানিস্তান,আফগানিস্তানের,আফগানিস্তান,আফগানিস্তানি,අෆ්ගනිස්ථානයේ,අෆ්ගනිස්ථානය,අෆ්ගන්,Afghanistan,Afghanistan,阿富汗,阿富汗菜,阿富汗,阿富汗菜,Afghanistan,Afghan,อัฟกานิสถาน,อัฟกานิสถาน,Əfqanıstan,Əfqan,Afghanistan,Afghanistan,Afghanistan,Afgana,Afganistan,afganistanu,Афганистан,Афганистана,Афганистан,Афганистане,афганская,афганской,афганскую,афганской
Africa,Africa,African,an African,Afrika,Afrika,非洲,非洲菜,아프리카,아프리카,アフリカ,アフリカ,Afrika,Pasakan Afrika,Afrika,Afrika,Afrika,v Africe,z Afriky,do Afriky,africké,v africké,África,Africana,Africano,Afrique,l'Afrique,d'Afrique,en Afrique,africaine,africain,أفريقيا,أفريقي,,अफ्रीका,अफ्रीका,अफ्रीका,अफ्रीकी ,आफ्रिका,आफ्रिका,आफ्रिका,आफ्रिकन,আফ্রিকা,আফ্রিকার,আফ্রিকা,আফ্রিকান,අප්‍රිකාවේ,අප්‍රිකාව,අප්‍රිකානු,Afirika,Afirika,非洲,非洲菜,非洲,非洲菜,Aprika,Aprikano,แอฟริกา,แอฟริกา,Afrika,Afrika,Afrika,Afrika,Africa,Africana,Àfrica,africanu,Африка,Африки,Африку,Африке,африканская,африканской,африканскую,африканской
Albania,Albania,Albanian,an Albanian,Albania,Albania,阿尔巴尼亚,阿尔巴尼亚菜,알바니아,알바니아,アルバニア,アルバニア,Albania,Pasakan Albania,Albania,Albania,Albánie,v Albánii,z Albánie,do Albánie,albánské,v albánské,Albania,Albanesa,Albanés,Albanie,l'Albanie,d'Albanie,en Albanie,albanaise,albanais,ألبانيا,ألباني,,अल्बानिया,अल्बानिया,अल्बानिया,अल्बानियाई ,अल्बानिया,अल्बानिया,अल्बानिया,अल्बेनियन,আলবেনিয়া,আলবেনিয়ার,আলবেনিয়া,আলবেনীয়,ඇල්බේනියාවේ,ඇල්බේනියාව,ඇල්බේනියානු,Albania,Albania,阿爾巴尼亞,阿爾巴尼亞菜,阿尔巴尼亚,阿尔巴尼亚菜,Albania,Albanian,แอลเบเนีย,แอลเบเนีย,Albaniya,Albaniya,Albania,Albania,Albania,Albanese,Albània,albanesu,Албания,Албании,Албанию,Албании,албанская,албанской,албанскую,албанской
Algeria,Algeria,Algerian,an Algerian,Aljazair,Algeria,阿尔及利亚,阿尔及利亚菜,알제리,알제리,アルジェリア,アルジェリア,Aljazair,Pasakan Aljazair,Aljazair,Aljazair,Alžírsko,v Alžírsku,z Alžírska,do Alžírska,alžírské,v alžírské,Argelia,Argelina,Argelino,Algérie,l'Algérie,d'Algérie,en Algérie,algérienne,algérien,الجزائر,جزائري,,अल्जीरिया,अल्जीरिया,अल्जीरिया,अल्जीरियाई ,अल्जेरिया,अल्जीरिया,अल्जेरिया,अल्जेरियन,আলজেরিয়া,আলজেরিয়ার,আলজেরিয়া,আলজেরীয়,ඇල්ජීරියාවේ,ඇල්ජීරියාව,ඇල්ජීරියානු,Algeria,Algeria,阿爾及利亞,阿爾及利亞菜,阿尔及利亚,阿尔及利亚菜,Algeria,Algerian,แอลจีเรีย,แอลจีเรีย,Əlcəzair,Əlcəzair,Algeria,Aljazair,Algeria,Algerina,Algèria,algerinu,Алжир,Алжира,Алжир,Алжире,алжирская,алжирской,алжирскую,алжирской
Anatolia,Anatolia,Anatolian,an Anatolian,Anatolia,Anatolia,安纳托利亚,安纳托利亚菜,아나톨리아,아나톨리아,アナトリア,アナトリア,Anatolia,Pasakan Anatolia,Anatolia,Anatolia,Anatolie,v Anatolii,z Anatolie,do Anatolie,anatolské,v anatolské,Anatolia,Anatolia,Anatolio,Anatolie,l'Anatolie,d'Anatolie,en Anatolie,anatolienne,anatolien,الأناضول,أناضولي,,अनातोलिया,अनातोलिया,अनातोलिया,अनातोलियन ,अनातोलिया,अनातोलिया,अनातोलिया,अनातोलियन,আনাতোলিয়া,আনাতোলিয়ার,আনাতোলিয়া,আনাতোলিয়ার,ඇනාටෝලියාවේ,ඇනාටෝලියාව,ඇනටෝලියානු,Anatolia,Anatolia,安納托利亞,安納托利亞菜,安纳托利亚,安纳托利亚菜,Anatolia,Anatolian,อนาโตเลีย,อนาโตเลีย,Anadolu,Anadolu,Anatolia,Anatolia,Anatolia,Anatolica,Anatòlia,anatoliu,Анатолия,Анатолии,Анатолию,Анатолии,анатолийская,анатолийской,анатолийскую,анатолийской
Angola,Angola,Angolan,an Angolan,Angola,Angola,安哥拉,安哥拉菜,앙골라,앙골라,アンゴラ,アンゴラ,Angola,Pasakan Angola,Angola,Angola,Angola,v Angole,z Angoly,do Angoly,angolské,v angolské,Angola,Angoleña,Angoleño,Angola,l'Angola,d'Angola,en Angola,angolaise,angolais,أنغولا,أنغولي,,अंगोला,अंगोला,अंगोला,अंगोला का ,अँगोला,अँगोला,अँगोला,अँगोलाई,অ্যাঙ্গোলা,অ্যাঙ্গোলার,অ্যাঙ্গোলা,অ্যাঙ্গোলান,ඇන්ගෝලාවේ,ඇන්ගෝලාව,ඇන්ගෝලා,Angola,Angola,安哥拉,安哥拉菜,安哥拉,安哥拉菜,Angola,Angolan,แองโกลา,แองโกลา,Anqola,Anqola,Angola,Angola,Angola,Angolana,Angola,angolanu,Ангола,Анголы,Анголу,Анголе,ангольская,ангольской,ангольскую,ангольской
Anguilla,Anguilla,Anguillan,an Anguillan,Anguilla,Anguilla,安圭拉,安圭拉菜,앵귈라,앵귈라,アンギラ,アンギラ,Anguilla,Pasakan Anguilla,Anguilla,Anguilla,Anguilla,v Anguille,z Anguilly,do Anguilly,anguillské,v anguillské,Anguila,Anguilana,Anguilano,Anguilla,l'Anguilla,d'Anguilla,à Anguilla,anguillaise,anguillais,أنغيلا,أنغيلي,,एंगुइला,एंगुइला,एंगुइला,एंगुइला का ,अँगुइला,अँगुइला,अँगुइला,अँगुइलान,অ্যাঙ্গুইলা,অ্যাঙ্গুইলার,অ্যাঙ্গুইলা,অ্যাঙ্গুইলার,ඇන්ගුයිලාවේ,ඇන්ගුයිලාව,ඇන්ගුයිල්ලා,Anguilla,Anguilla,安圭拉,安圭拉菜,安圭拉,安圭拉菜,Anguilla,Anguillan,แองกวิลลา,แองกวิลลา,Anguilla,Anguilla,Anguilla,Anguilla,Anguilla,Anguillana,Anguilla,anguillanu,Ангилья,Ангильи,Ангилью,Ангилье,ангильская,ангильской,ангильскую,ангильской
Antigua and Barbuda,Antigua and Barbuda,Antiguan and Barbudan,an Antiguan and Barbudan,Antigua dan Barbuda,Antigua dan Barbuda,安提瓜和巴布达,安提瓜和巴布达菜,앤티가 바부다,앤티가 바부다,アンティグア・バーブーダ,アンティグア・バーブーダ,Antigua sareng Barbuda,Pasakan Antigua sareng Barbuda,Antigua lan Barbuda,Antigua lan Barbuda,Antigua a Barbuda,na Antigue a Barbudě,z Antiguy a Barbudy,do Antiguy a Barbudy,antiguanské a barbudské,v antiguanském a barbudském,Antigua y Barbuda,Antiguana y Barbudense,Antiguano y Barbudense,Antigua-et-Barbuda,Antigua-et-Barbuda,d'Antigua-et-Barbuda,à Antigua-et-Barbuda,antiguayenne,antiguayen,أنتيغوا وباربودا,أنتيغوي,,एंटीगुआ और बारबुडा,एंटीगुआ और बारबुडा का,एंटीगुआ और बारबुडा,एंटीगुआ और बारबुडा का,अँटिग्वा आणि बारबुडा,अँटिग्वा आणि बारबुडाचा,अँटिग्वा आणि बारबुडा,अँटिग्वा आणि बारबुडाचा,অ্যান্টিগুয়া ও বারবুডা,অ্যান্টিগুয়া ও বারবুডার,অ্যান্টিগুয়া ও বারবুডা,অ্যান্টিগুয়া ও বারবুডান,ඇන්ටිගුවා සහ බාබුඩාවේ,ඇන්ටිගුවා සහ බාබුඩා,ඇන්ටිගුවා සහ බාබුඩා,Antigua ati Barbuda,Antigua ati Barbuda,安提瓜和巴布達,安提瓜和巴布達菜,安提瓜和巴布达,安提瓜和巴布达菜,Antigua at Barbuda,Antiguan at Barbudan,แอนติกาและบาร์บูดา,แอนติกาและบาร์บูดา,Antigua və Barbuda,Antigua və Barbuda,Antigua lan Barbuda,Antigua lan Barbuda,Antigua e Barbuda,di Antigua e Barbuda,Antigua e Barbuda,antighesi e barbudani,Антигуа и Барбуда,Антигуа и Барбуды,Антигуа и Барбуду,Антигуа и Барбуда,антигуанская,антигуанской,антигуанскую,антигуанской
