food_id,image_url,prompt_id,answer,image_index,Coarse-grained categories,Fine-grained categories,Cuisines,Associated Cuisines,Area,Countries,Regions,Text Description,prompt_en,prompt_id_formal,answer_en,answer_id_formal,correct_index,lang_status
1452,https://upload.wikimedia.org/wikipedia/commons/a/a6/Boliche.jpg?download,85,Boliche,0,"[""meat""]","[""roast meat""]","[""Cuban""]","[""Cuban""]","[""Cuba""]","[""Cuba""]",['Caribbean'],This dish is a pot roast dish consisting of eye round beef roast stuffed with ham.,What is the name of this dish that I just had at a Buryat restaurant?,Apa nama makanan ini yang baru saja saya makan di restoran Kenya?,"['Cabrito', 'Boliche', 'Brési', 'Schweinshaxe', 'Holishkes']","['Cabrito', 'Boliche', 'Brési', 'Schweinshaxe', 'Holishkes']",1.0,mixed
1784,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Visayan_Lechon_Paksiw_%28Northern_Mindanao%29_01.jpg/1440px-Visayan_Lechon_Paksiw_%28Northern_Mindanao%29_01.jpg?download,77,Paksiw na baboy,0,"[""meat""]","[""pork""]","[""Filipino""]","[""Filipino""]","[""Philippines""]","[""Philippines""]",['South Eastern Asia'],"The dish consists of pork, usually hock or shank, cooked in ingredients similar to those in adobo but with the addition of sugar and banana blossoms (or pineapples) to make it sweeter and water to keep the meat moist and to yield a rich sauce.",My friend from Russia cooked this dish for me. What is this dish called?,Teman saya dari Swedia memasak hidangan ini buat saya. Disebut apakah hidangan ini?,"['Fläsklägg med rotmos', 'Paksiw na baboy', 'Calabacitas con puerco', 'Pollo motuleño', 'Akok']","['Fläsklägg med rotmos', 'Paksiw na baboy', 'Calabacitas con puerco', 'Pollo motuleño', 'Akok']",1.0,mixed
21,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Khao_phat_nam_phrik_long_ruea.jpg/1024px-Khao_phat_nam_phrik_long_ruea.jpg?download,3,Khao Phat,3,"[""rice""]","[""fried rice""]","[""Thai""]","[""Thai""]","[""Central Thailand""]","[""Thailand""]",['South Eastern Asia'],"The dish normally contains meat (chicken, shrimp, and crab are all common), egg, onions, garlic and sometimes tomatoes. The seasonings, which may include soy sauce, sugar, salt, possibly some chili sauce, and the ubiquitous nampla (fish sauce), are stir-fried together with the other ingredients. The dish is then plated and served with accompaniments like cucumber slices, tomato slices, lime and sprigs of green onion and coriander, and phrik nampla, a spicy sauce made of sliced chilies, chopped garlic cloves, fish sauce, lime juice and sugar. ",Can you tell me the name of this food?,Bisakah anda sebutkan nama makanan ini?,"['Khao khluk kapi', 'Burmese fried rice', 'Kiampong', 'Khao Phat', 'Nan gyi thohk']","['Khao khluk kapi', 'Nasi goreng Myanmar', 'Kiampong', 'Nasi goreng Thai', 'Nan gyi thohk']",3.0,mixed
1675,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Kuzumochi_001.jpg/1651px-Kuzumochi_001.jpg?download,72,Kuzumochi,1,"[""cake""]","[""mochi cake""]","[""Japanese""]","[""Japanese""]","[""Japan""]","[""Japan""]",['Eastern Asia'],"A dessert that can be either mochi cake made from kudzu powder, starch derived from the root of the kudzu plant, or rice cakes made from Lactobacillales-fermented wheat starch. The usual preparation consists in combining kudzu powder with water and sugar, and cooking it over a gentle heat, stirring continuously until the mixture thickens and becomes transparent. This process also imparts an elastic texture to the kudzu. The transparent appearance of the final product contributes to a cool sensation, making it a popular choice for consumption during warmer months.",I like Bangladeshi food. What is this dish called?,Saya suka makanan Libya. Disebut apakah hidangan ini?,"['Medovik', 'Kuzumochi', 'Kue makmur', 'Concave cake', 'Hanabiramochi']","['Medovik', 'Kuzumochi', 'Kue makmur', 'Concave cake', 'Hanabiramochi']",1.0,mixed
230,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Sweet_Tea_Olive_Cake.jpg/1440px-Sweet_Tea_Olive_Cake.jpg?download,89,Osmanthus cake,0,"[""pastry""]","[""cake""]","[""Chinese""]","[""Chinese""]","[""China""]","[""China""]",['Eastern Asia'],"The dish is made with glutinous rice flour, honey, sweet-scented osmanthus and rock sugar. It has crystal clear, sweet, and soft waxy characteristics.","Yesterday I had a nice lunch at a Chinese Peruvian restaurant.
I am about to have this dish now. What is this dish called?","Kemarin, saya menyantap makan siang yg nikmat di restoran Baltik. Sekarang saya akan menyantap hidangan ini. Disebut apakah hidangan ini?","['Haddekuche', 'Le̍k-tāu-phòng', 'Osmanthus cake', 'Nunt', 'Yatsuhashi']","['Haddekuche', 'Le̍k-tāu-phòng', 'Osmanthus cake', 'Nunt', 'Yatsuhashi']",2.0,mixed
1694,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Eating_a_curry_pan_at_Brighton_and_Hove_Japanese_Club_Open_Day_2023.jpg/810px-Eating_a_curry_pan_at_Brighton_and_Hove_Japanese_Club_Open_Day_2023.jpg?download,40,Curry bread,6,"[""bread""]","[""bread""]","[""Japanese""]","[""Japanese""]","[""Japan""]","[""Japan""]",['Eastern Asia'],"Curry wrapped in a piece of dough, which is then coated in bread crumbs and deep fried. On occasion it is baked instead of deep fried, but deep frying is the most common method of cooking.",I tried this food when I visited Japan. What is it called?,Saya memcoba makanan ini ketika dahulu berkunjung ke Jepang. Disebut apakah ini?,"['Roti bolen', 'Rice bread', 'Bunny chow', 'Croquette', 'Curry bread']","['Roti bolen', 'Roti beras', 'Bunny chow', 'Kroket', 'Roti kari']",4.0,mixed
1367,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/B%C3%B2_n%C6%B0%E1%BB%9Bng_l%C3%A1_l%E1%BB%91t_t%E1%BA%A1i_Manchester.jpg/1157px-B%C3%B2_n%C6%B0%E1%BB%9Bng_l%C3%A1_l%E1%BB%91t_t%E1%BA%A1i_Manchester.jpg?download,72,Bò nướng lá lốt,0,"[""meat""]","[""grilled beef""]","[""Vietnamese""]","[""Vietnamese""]","[""Vietnam""]","[""Vietnam""]",['South Eastern Asia'],The dish is a grilled beef served on a leaf which has a spicy smell but medicinal taste.. It is commonly served in a barbecue technique.,I like Brazilian food. What is this dish called?,Saya suka makanan Mediterania Timur. Disebut apakah hidangan ini?,"['Churrasco', 'Poc chuc', 'Bakso', 'Khao lam', 'Bò nướng lá lốt']","['Churrasco', 'Poc chuc', 'Bakso', 'Khao lam', 'Bò nướng lá lốt']",4.0,mixed
953,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Mud_pie_with_chocolate_drizzle%2C_June_2009.jpg/1440px-Mud_pie_with_chocolate_drizzle%2C_June_2009.jpg?download,70,Mississippi mud pie,5,"[""pastry""]","[""dessert pie""]","[""American""]","[""American""]","[""Mississippi""]","[""United States""]",['Northern America'],"A chocolate-based dessert pie, typically contains a gooey chocolate sauce, brownie and chocolate custard on top of a crumbly chocolate crust. It is usually served with ice cream, but can also be served alongside whipped cream, boiled custard, or vanilla yogurt.","I hate this food that I ate at a Tobagonian restaurant.
What is the name of this dish?",Saya tidak suka dengan makanan yg saya makan di restoran Vietnam. Apakah nama hidangan ini?,"['Buttermilk pie', 'Pumpkin pie', 'Derby pie', 'Mississippi mud pie', 'Chocolate pudding']","['Buttermilk pie', 'Pumpkin pie', 'Derby pie', 'Mississippi mud pie', 'Chocolate pudding']",3.0,mixed
1224,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/2020-AlexandrovBYu-sample3.jpg/785px-2020-AlexandrovBYu-sample3.jpg?download,24,Russia,1,"[""snack"",""cheese""]","[""cheese"",""cheese bar""]","[""Russian""]","[""Baltic"", ""Russian"", ""Ukrainian"", ""Hungarian"", ""Polish"", ""Romanian"", ""Mongolian""]","[""Baltic states"", ""Russia"", ""Ukraine"", ""Hungary"", ""Poland"", ""Romania"", ""Mongolia""]","[""Russia""]",['Eastern Europe'],"The main part this snack is made from cheese, which is mixed with sugar, sweeteners or other ingredients and milled into a homogenous paste that is pressed into the desired shape and filled with jam or other fillings. The formed bars then pass through the so-called ""glaze waterfall"" that coats them in chocolate or another type of glaze. Finally, the snacks are cooled in a cooling tunnel and packed.",Which country is known as the origin of this dish?,Negara manakah yg dikenal sebagai asal muasal dari hidangan ini?,"['United Kingdom', 'Austria', 'Russia', 'Ireland', 'New Zealand']","['Britania Raya', 'Austria', 'Rusia', 'Irlandia', 'Selandia Baru']",2.0,full
1707,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Bento_Karakter.jpg/640px-Bento_Karakter.jpg?download,84,Bento,4,"[""rice""]","[""mixed rice""]","[""Japanese""]","[""Japanese"", ""Chinese"", ""Korean"", ""Singaporean"", ""Taiwanese""]","[""Japan""]","[""Japan""]",['Eastern Asia'],"single-portion take-out or home-packed meal, often for lunch, typically includes rice or noodles with fish or some other meat, often with pickled and cooked vegetables in a box",We ventured to Hakka and found this delicacy at <CUISINE.w_det> restaurant. What is the food called?,Kita berkelana ke Kurdistan dan menemukan kelezatan ini di restoran <CUISINE>. Disebut apakah makanan ini?,"['Bento', 'Nasi jinggo', 'Pastil', 'Nigirizushi', 'Chanpurū']","['Bentō', 'Nasi jinggo', 'Pastil', 'Susyi', 'Chanpurū']",0.0,mixed
